_id,headline,pub_date
nyt://article/1baac4e1-db77-58f3-8328-6386f4ba190c,Los Angeles Officials Search for Killer Said to Be ‘Preying on the Unhoused’,2023-12-01 22:39:17
nyt://article/1d6df881-96db-5c7e-bec5-c6f369a27383,Freed Palestinians Were Mostly Young and Not Convicted of Crimes,2023-12-01 22:40:48
nyt://article/c974f59d-7154-5007-bdac-0ca6bdc15828,"Republicans Insist on Deposing Hunter Biden, Saying Public Hearing Must Wait",2023-12-01 22:50:21
nyt://interactive/afb47fa5-a5e3-5fbf-9ddb-f30eb770e69e,"Flashback: Your Weekly History Quiz, December 3, 2023",2023-12-01 22:58:12
nyt://article/360a34f9-8ff5-5873-a39b-45bc28035e31,Sandra Day O’Connor’s Other Legacy,2023-12-01 22:58:19
nyt://video/a3d4911c-2274-59f2-9568-a534df5d6a70,Sandra Day O’Connor’s Last Times Interview,2023-12-01 23:02:01
nyt://article/eabf7ac9-53cd-5e42-963f-7d3528f22b78,The Debate That Israel Needs Over the War,2023-12-01 23:02:38
nyt://article/25ff5544-7f56-541f-b3d7-c646123214de,Israel Resumed its Gaza Offensive,2023-12-01 23:07:13
nyt://article/987d08be-5c79-57b1-a33a-52374a86a5fa,"With the End of the Cease-Fire, Concern Grows Over the Oldest Israeli Hostages Left Behind",2023-12-01 23:08:51
nyt://article/37a36ad7-743c-54f5-82eb-5d7ae451dd07,"Inmate Stabbed Derek Chauvin 22 Times, U.S. Says",2023-12-01 23:13:26
nyt://article/4d188c1a-c719-5e80-a80b-ae6f4bdfe7a3,"After Sexual Assault Suits, Are Sean Combs’s Empire and Brand at Risk?",2023-12-01 23:15:04
